date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:47	81670/81670	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b1ca479-13f06%22	https://colorlib.com/preview/theme/theconference/styles/bootstrap4/popper.js	C:/My%20Web%20Sites/News/colorlib.com/preview/theme/theconference/styles/bootstrap4/popper.js	(from https://colorlib.com/preview/theme/theconference/)
12:04:47	50564/50564	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b1ca474-c584%22	https://colorlib.com/preview/theme/theconference/styles/bootstrap4/bootstrap.min.js	C:/My%20Web%20Sites/News/colorlib.com/preview/theme/theconference/styles/bootstrap4/bootstrap.min.js	(from https://colorlib.com/preview/theme/theconference/)
12:04:47	85368/85368	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b1ca445-14d78%22	https://colorlib.com/preview/theme/theconference/plugins/OwlCarousel2-2.2.1/owl.carousel.js	C:/My%20Web%20Sites/News/colorlib.com/preview/theme/theconference/plugins/OwlCarousel2-2.2.1/owl.carousel.js	(from https://colorlib.com/preview/theme/theconference/)
12:04:48	8305/8305	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b1ca3fd-2071%22	https://colorlib.com/preview/theme/theconference/plugins/easing/easing.js	C:/My%20Web%20Sites/News/colorlib.com/preview/theme/theconference/plugins/easing/easing.js	(from https://colorlib.com/preview/theme/theconference/)
12:04:48	6868/6868	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b1ca450-1ad4%22	https://colorlib.com/preview/theme/theconference/plugins/parallax-js-master/parallax.min.js	C:/My%20Web%20Sites/News/colorlib.com/preview/theme/theconference/plugins/parallax-js-master/parallax.min.js	(from https://colorlib.com/preview/theme/theconference/)
12:04:48	2661/2661	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b1ca3c7-a65%22	https://colorlib.com/preview/theme/theconference/js/custom.js	C:/My%20Web%20Sites/News/colorlib.com/preview/theme/theconference/js/custom.js	(from https://colorlib.com/preview/theme/theconference/)
12:04:50	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%225b1ca495-2876e%22	https://colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/News/colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from https://colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/css/font-awesome.min.css)
12:04:51	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%225b1ca53e-12d68%22	https://colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/News/colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from https://colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/css/font-awesome.min.css)
12:04:52	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%225b1ca495-2876e%22	https://colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/News/colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot	(from https://colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/css/font-awesome.min.css)
12:04:53	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225b1ca51c-286ac%22	https://colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/News/colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from https://colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/css/font-awesome.min.css)
12:04:53	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225b1ca534-17ee8%22	https://colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/News/colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from https://colorlib.com/preview/theme/theconference/plugins/font-awesome-4.7.0/css/font-awesome.min.css)
